Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,,REQUIRED,A sua app recolhe ou partilha algum dos tipos de dados do utilizador necessários?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,,MAYBE_REQUIRED,Todos os dados do utilizador recolhidos pela sua app são encriptados quando estão em trânsito?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,Qual dos seguintes métodos de criação de contas é compatível com a sua app? Selecione todas as opções aplicáveis/Nome de utilizador e palavra-passe
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,Qual dos seguintes métodos de criação de contas é compatível com a sua app? Selecione todas as opções aplicáveis/Nome de utilizador e outra autenticação
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Qual dos seguintes métodos de criação de contas é compatível com a sua app? Selecione todas as opções aplicáveis/Nome de utilizador, palavra-passe e outra autenticação"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,Qual dos seguintes métodos de criação de contas é compatível com a sua app? Selecione todas as opções aplicáveis/OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Qual dos seguintes métodos de criação de contas é compatível com a sua app? Selecione todas as opções aplicáveis/Outro
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Qual dos seguintes métodos de criação de contas é compatível com a sua app? Selecione todas as opções aplicáveis/A minha app não permite que os utilizadores criem uma conta
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Descreva o método de criação da conta suportado pela sua app
PSL_ACCOUNT_DELETION_URL,,,MAYBE_REQUIRED,Adicione um link que os utilizadores podem usar para pedir a eliminação da respetiva conta e dos dados associados 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,Disponibiliza uma forma de os utilizadores solicitarem a eliminação dos respetivos dados?/Sim
