"Title","Description","Link","Media URL","Scheduled date","Scheduled time","Post type","Platforms","Cover image URL","Hashtags","Local file"
"R15 — O que descontas hoje vale dinheiro amanhã","O que descontas hoje para a Segurança Social vale reforma amanhã — e também baixa por doença e parentalidade. O Em Dia faz uma estimativa simples. A conta certa, com toda a tua carreira, é a da Segurança Social.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#reforma #segurancasocial #recibosverdes #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R15.mp4","2026-10-18","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R15-capa.jpg","#reforma #segurancasocial #recibosverdes #financaspessoais #portugal","pecas/reels/R15.mp4"
"R16 — Amanhã é o último dia","Amanhã, terça 20, é o último dia para pagar a contribuição da Segurança Social deste mês. Se já pagaste, marca «Já paguei» no Em Dia.

📚 Fonte: Código Contributivo, art. 155.º n.º 2 — seg-social.pt

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R16.mp4","2026-10-19","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R16-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R16.mp4"
"C12 — IRS: as faturas que te baixam o imposto","Ainda faltam meses para o IRS, mas as faturas contam desde janeiro 🧾

• Saúde: 15 %, até 1.000 €
• Educação: 30 %, até 800 €
• Renda da casa: 15 %, até 800 €
• IVA de restaurantes, oficinas, cabeleireiros, ginásios e veterinários: 15 %, até 250 €
• Despesas gerais familiares: 35 %, até 250 €

Pede sempre fatura com NIF. E valida-as no e-Fatura até 25 de fevereiro.

📚 Fonte: Código do IRS, art. 78.º-A a 78.º-F — portaldasfinancas.gov.pt

Informação geral. Não substitui um contabilista.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#irs #deducoes #efatura #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C12/01.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C12/02.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C12/03.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C12/04.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C12/05.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C12/06.png","2026-10-20","13:30","Carrossel","Facebook,Instagram","","#irs #deducoes #efatura #financaspessoais #portugal","pecas/carrosseis/C12/01.png;pecas/carrosseis/C12/02.png;pecas/carrosseis/C12/03.png;pecas/carrosseis/C12/04.png;pecas/carrosseis/C12/05.png;pecas/carrosseis/C12/06.png"
"R17 — Declaração trimestral: faltam 10 dias","Faltam 10 dias para a declaração trimestral da Segurança Social: declaras o que ganhaste em julho, agosto e setembro. O prazo é 31 de outubro, um sábado — trata até sexta, 30.

📚 Fonte: Código Contributivo, art. 151.º-A n.º 3 — seg-social.pt

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R17.mp4","2026-10-21","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R17-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R17.mp4"
"C13 — Declaração trimestral: faltam 9 dias","Faltam 9 dias para a declaração trimestral da Segurança Social ⏳

Declaras o que ganhaste em julho, agosto e setembro, na Segurança Social Direta. O prazo é 31 de outubro — que este ano é um sábado. Trata até sexta, 30.

Marca alguém que precisa de ler isto.

📚 Fonte: Código Contributivo, art. 151.º-A n.º 3 — seg-social.pt

Informação geral. Não substitui um contabilista.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C13/01.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C13/02.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C13/03.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C13/04.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C13/05.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C13/06.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C13/07.png","2026-10-22","14:00","Carrossel","Facebook,Instagram","","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/carrosseis/C13/01.png;pecas/carrosseis/C13/02.png;pecas/carrosseis/C13/03.png;pecas/carrosseis/C13/04.png;pecas/carrosseis/C13/05.png;pecas/carrosseis/C13/06.png;pecas/carrosseis/C13/07.png"
"R18 — Estafeta: cada entrega conta","Fazes entregas e o que ganhas muda todas as semanas? Escreve cada dia no Em Dia: ele soma o mês e aponta a fatia do imposto no cofre. No fim do mês não há sustos.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#estafetas #entregas #recibosverdes #trabalhadorindependente #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R18.mp4","2026-10-22","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R18-capa.jpg","#estafetas #entregas #recibosverdes #trabalhadorindependente #portugal","pecas/reels/R18.mp4"
"R19 — Recibo de 1.000 €? Faz a conta antes de o passar","Vais passar um recibo de 1.000 € a uma empresa? Com retenção de 23 %, recebes 770 €. A calculadora de recibo do Em Dia mostra-te o que recebes e o que é mesmo teu, antes de o emitires.

📚 Fonte: Código do IRS, art. 101.º — portaldasfinancas.gov.pt

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R19.mp4","2026-10-23","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R19-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R19.mp4"
"C14 — IRS Jovem: tens até 35 anos?","Tens até 35 anos? O IRS Jovem pode tirar-te imposto dos primeiros 10 anos de rendimentos 🎓

• 1.º ano: 100 % isento
• 2.º ao 4.º: 75 %
• 5.º ao 7.º: 50 %
• 8.º ao 10.º: 25 %

Com um limite de 29.542,15 € por ano. Serve para quem trabalha por conta de outrem e para recibos verdes. Escolhe-se na declaração de IRS.

📚 Fonte: Código do IRS, art. 12.º-B (Lei 45-A/2024); FAQ da AT

Informação geral. Não substitui um contabilista.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#irsjovem #irs #jovens #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C14/01.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C14/02.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C14/03.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C14/04.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C14/05.png","2026-10-24","11:00","Carrossel","Facebook,Instagram","","#irsjovem #irs #jovens #financaspessoais #portugal","pecas/carrosseis/C14/01.png;pecas/carrosseis/C14/02.png;pecas/carrosseis/C14/03.png;pecas/carrosseis/C14/04.png;pecas/carrosseis/C14/05.png"
"R20 — Você sabia? Em Portugal o cliente pode reter 23 % do recibo","Você sabia? Em Portugal, quando você passa um recibo verde para uma empresa, ela pode reter 23 % para o IRS. Não é dinheiro perdido: conta no acerto do ano. O Em Dia faz a conta antes de você emitir.

📚 Fonte: Código do IRS, art. 101.º — portaldasfinancas.gov.pt

👉 Experimente grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por enquanto está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#brasileirosemportugal #brasileirosemlisboa #morarememportugal #recibosverdes #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R20.mp4","2026-10-25","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R20-capa.jpg","#brasileirosemportugal #brasileirosemlisboa #morarememportugal #recibosverdes #portugal","pecas/reels/R20.mp4"
"R21 — Faltam 5 dias: declaração trimestral","Faltam 5 dias para a declaração trimestral da Segurança Social. O dia 31 é sábado: não deixes para o fim. Declaras o que ganhaste em julho, agosto e setembro, na Segurança Social Direta.

📚 Fonte: Código Contributivo, art. 151.º-A n.º 3 — seg-social.pt

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R21.mp4","2026-10-26","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R21-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R21.mp4"
