"Title","Description","Link","Media URL","Scheduled date","Scheduled time","Post type","Platforms","Cover image URL","Hashtags","Local file"
"R01 — Trabalhas a recibos verdes? Estás em dia?","Trabalhas a recibos verdes e nunca sabes se estás em dia? O Em Dia diz-te o que fazer agora, quanto guardar e que prazo vem a seguir. Em português simples.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R01.mp4","2026-09-28","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R01-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R01.mp4"
"C01 — Recibos verdes explicados como se tivesses 5 anos","Recibos verdes explicados como se tivesses 5 anos 👇

Passas um recibo. Nem tudo é teu: parte vai para a Segurança Social, parte para o IRS e, às vezes, parte para o IVA.

Guarda este post para quando tiveres dúvidas. E manda a quem acabou de abrir atividade.

📚 Fonte: Código Contributivo (art. 155.º, 162.º, 168.º); Código do IRS (art. 101.º); Código do IVA (art. 53.º).

Informação geral. Não substitui um contabilista.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/01.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/02.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/03.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/04.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/05.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/06.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/07.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C01/08.png","2026-09-29","13:30","Carrossel","Facebook,Instagram","","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/carrosseis/C01/01.png;pecas/carrosseis/C01/02.png;pecas/carrosseis/C01/03.png;pecas/carrosseis/C01/04.png;pecas/carrosseis/C01/05.png;pecas/carrosseis/C01/06.png;pecas/carrosseis/C01/07.png;pecas/carrosseis/C01/08.png"
"R02 — Ganhas 1.200 € por mês a recibos verdes?","Ganhas 1.200 € por mês a recibos verdes (serviços)? A Segurança Social é 21,4 % sobre 70 % do que ganhas: 179,76 € por mês. Paga-se entre o dia 10 e o dia 20.

📚 Fonte: Código Contributivo (Lei 110/2009), art. 162.º e 168.º — seg-social.pt

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R02.mp4","2026-09-30","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R02-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R02.mp4"
"C02 — Outubro: os prazos que não podes falhar","Outubro começou. Estes são os prazos do mês 📅

• 6/10 — comunicação das faturas de setembro (quem usa programa de faturação)
• 12/10 — DMR, para quem tem trabalhadores
• 10 a 20/10 — pagar a Segurança Social
• 31/10 — declaração trimestral da Segurança Social (calha a um sábado: trata até sexta, 30)

Guarda para não te esqueceres.

📚 Fonte: AT, agenda fiscal 2026; Código Contributivo, art. 151.º-A e 155.º

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C02/01.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C02/02.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C02/03.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C02/04.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C02/05.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C02/06.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C02/07.png","2026-10-01","14:00","Carrossel","Facebook,Instagram","","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/carrosseis/C02/01.png;pecas/carrosseis/C02/02.png;pecas/carrosseis/C02/03.png;pecas/carrosseis/C02/04.png;pecas/carrosseis/C02/05.png;pecas/carrosseis/C02/06.png;pecas/carrosseis/C02/07.png"
"R03 — Outubro tem 2 prazos da Segurança Social","Outubro tem 2 prazos da Segurança Social para quem está a recibos verdes: pagar entre 10 e 20 e declarar o trimestre até 31 (sábado — trata até sexta, 30).

📚 Fonte: AT, agenda fiscal 2026; Código Contributivo, art. 151.º-A e 155.º

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R03.mp4","2026-10-01","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R03-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R03.mp4"
"C03 — Abriu atividade em Portugal? 7 palavras que você precisa conhecer","Chegou em Portugal, abriu atividade e ficou perdido com tanta sigla? 🇧🇷🇵🇹

Estas são as 7 palavras que você vai ouvir o tempo todo: NIF, NISS, recibo verde, Portal das Finanças, Segurança Social Direta, IRS e IVA.

Salve este post e mande para quem acabou de chegar.

Informação geral. Não substitui um contabilista.

👉 Experimente grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por enquanto está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#brasileirosemportugal #brasileirosemlisboa #morarememportugal #recibosverdes #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/01.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/02.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/03.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/04.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/05.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/06.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/07.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C03/08.png","2026-10-02","16:00","Carrossel","Facebook,Instagram","","#brasileirosemportugal #brasileirosemlisboa #morarememportugal #recibosverdes #portugal","pecas/carrosseis/C03/01.png;pecas/carrosseis/C03/02.png;pecas/carrosseis/C03/03.png;pecas/carrosseis/C03/04.png;pecas/carrosseis/C03/05.png;pecas/carrosseis/C03/06.png;pecas/carrosseis/C03/07.png;pecas/carrosseis/C03/08.png"
"R04 — Fim do turno. Quanto fica mesmo para ti?","Fim do turno. Entrou dinheiro, mas quanto fica mesmo para ti? No Em Dia escreves o que ganhaste e ele aponta a fatia do imposto no cofre. É um caderno: não mexe no teu dinheiro.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#tvde #motoristastvde #recibosverdes #carro #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R04.mp4","2026-10-02","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R04-capa.jpg","#tvde #motoristastvde #recibosverdes #carro #portugal","pecas/reels/R04.mp4"
"C04 — Recibo de 1.000 €: quanto chega à tua conta?","Passas um recibo de 1.000 € a uma empresa. Quanto chega à tua conta? 🤔

Se o cliente fizer retenção na fonte de 23 %, recebes 770 €. Os outros 230 € vão para as Finanças em teu nome e contam no acerto do IRS.

Desliza para ver a conta toda (com a Segurança Social incluída).

📚 Fonte: Código do IRS, art. 101.º — portaldasfinancas.gov.pt; Código Contributivo (Lei 110/2009), art. 162.º e 168.º — seg-social.pt

Informação geral. Não substitui um contabilista.

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C04/01.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C04/02.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C04/03.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C04/04.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C04/05.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C04/06.png,https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/carrosseis/C04/07.png","2026-10-03","11:00","Carrossel","Facebook,Instagram","","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/carrosseis/C04/01.png;pecas/carrosseis/C04/02.png;pecas/carrosseis/C04/03.png;pecas/carrosseis/C04/04.png;pecas/carrosseis/C04/05.png;pecas/carrosseis/C04/06.png;pecas/carrosseis/C04/07.png"
"R05 — Chegou em Portugal e virou recibo verde?","Chegou em Portugal e virou recibo verde? Segurança Social, IRS, IVA... O Em Dia explica tudo em português simples, fala do jeito brasileiro e avisa antes de cada prazo.

👉 Experimente grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por enquanto está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#brasileirosemportugal #brasileirosemlisboa #morarememportugal #recibosverdes #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R05.mp4","2026-10-04","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R05-capa.jpg","#brasileirosemportugal #brasileirosemlisboa #morarememportugal #recibosverdes #portugal","pecas/reels/R05.mp4"
"R06 — Hoje é feriado. E os prazos?","Hoje é feriado (5 de Outubro). Quando um prazo do Estado calha num feriado ou fim de semana, passa para o dia útil seguinte: este mês, a comunicação das faturas de setembro vai até dia 6. O Em Dia avisa-te na véspera útil.

📚 Fonte: AT, agenda fiscal 2026 (nota a); Código do Trabalho, art. 234.º

👉 Experimenta grátis, sem cartão: app.emdia.boraguarda.com (link na bio)

Por agora está tudo aberto e não se paga nada. Quando as assinaturas abrirem, avisamos com 30 dias de antecedência e ninguém é cobrado sem dizer que sim.

#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","https://app.emdia.boraguarda.com","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R06.mp4","2026-10-05","20:30","Reel","Facebook,Instagram","https://raw.githubusercontent.com/nilofulfarotuga-hue/em-dia-app/main/docs/marketing/redes-em-dia/pecas/reels/R06-capa.jpg","#recibosverdes #trabalhadorindependente #segurancasocial #financaspessoais #portugal","pecas/reels/R06.mp4"
